enormously,tremendously,guess,guess
provisions,stipulations,guess,guess
haphazardly,randomly,guess,guess
prominent,conspicuous,conspicuous,correct
zenith,pinnacle,pinnacle,correct
flawed,imperfect,guess,guess
urgently,desperately,guess,guess
consumed,eaten,supplied,wrong
advent,coming,guess,guess
concisely,succinctly,guess,guess
salutes,greetings,guess,guess
solitary,alone,restless,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,continually,correct
issues,subjects,benefits,wrong
furnish,supply,supply,correct
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,sea,wrong
make,earn,borrow,wrong
often,frequently,guess,guess
easygoing,relaxed,guess,guess
debate,argument,argument,correct
narrow,thin,thin,correct
arranged,planned,discarded,wrong
infinite,limitless,limitless,correct
showy,striking,guess,guess
levied,imposed,imposed,correct
deftly,skillfully,guess,guess
distribute,circulate,guess,guess
discrepancies,differences,guess,guess
prolific,productive,productive,correct
unmatched,unequaled,guess,guess
peculiarly,uniquely,guess,guess
hue,color,glare,wrong
hind,rear,curved,wrong
highlight,accentuate,guess,guess
hastily,hurriedly,guess,guess
temperate,mild,cold,wrong
grin,smile,joke,wrong
verbally,orally,guess,guess
physician,doctor,guess,guess
essentially,basically,guess,guess
keen,sharp,sharp,correct
situated,positioned,guess,guess
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,guess,guess
tasks,jobs,shops,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,guess,guess
annals,chronicles,guess,guess
wildly,furiously,guess,guess
hailed,acclaimed,guess,guess
command,mastery,mastery,correct
concocted,devised,guess,guess
prospective,potential,guess,guess
generally,broadly,guess,guess
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,guess,guess
dissipate,disperse,isolate,wrong
primarily,chiefly,consistently,wrong
colloquial,conversational,guess,guess
resolved,settled,guess,guess
feasible,possible,possible,correct
expeditiously,rapidly,guess,guess
percentage,proportion,sample,wrong
terminated,ended,guess,guess
uniform,alike,complex,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,guess,guess
marketed,sold,guess,guess
bigger,larger,guess,guess
roots,origins,guess,guess
normally,ordinarily,guess,guess
